"catagory","title","participated"
"정치개혁","국회의원의 고연봉 등 특권 심각","11"
"보건복지","기초 국민연금 연계 폐지 건의","6"
"정치개혁","勞社(노사),北美(북미) 등 잘못된 용어 개정 청원!!","2"
"문화/예술/체육/언론","애니,만화 사이트 그만막으세요","244"
"기타","청와대가 갈수록 개판되는지 아는가 대통령 공무원 사랑 때문이야","6"
"문화/예술/체육/언론","도서관 주차장 문제 해결해 주세요.","2"
"보건복지","*****병원 영안실에서 7년째 고통받는 젊은여성을 도와주세요","22"
"저출산/고령화대책","저예산의 실질적 저출산 해결 및 육아복지 방안","1"
"인권/성평등","TV조선 운전기사 폭언","13"
"인권/성평등","장애인활동지원사 휴게시간저축제 반대합니다.","248"
"육아/교육","양육비","12"
"보건복지","국민건강보험공단이 몇십만원 심지어 몇만원 잔고의  서민 통장도 압류해 은행거래 마져 못하게 만들어 서민이 더욱 고통 받고 있습니다","13"
"문화/예술/체육/언론","부산 정관 병**리 ***컨트리클럽 회원 관련입니다.","1"
"보건복지","재외국민의료 보험에 가입하게 해주세요.","0"
"기타","무능한 대법원장 김명수 때문에 사법부가 개판오분전이야","4"
"기타","청와대는 돈이 남아도는구나 1차2차3차 매일 회식이구나","8"
"농산어촌","백령도에 석유및가스 가격 육지보다 비싼이유 밝혀 주세요.","3"
"문화/예술/체육/언론","한국 국적을  갖 지  않은  연예인들이  국내에서  활동을  금지 해주세요.","19"
"육아/교육","언어폭력 및 사이버폭력 강력처벌 요망","6"
"농산어촌","부산 기장군 철마면 입니다.","0"
"기타","부산광역시 사상구 ** ** 아파트 ***동 ***호 김** 총무에 대한 청원","4"
"안전/환경","고의적이 교통상해 을 당하여 신고 하였는데도 가해자는 죄가 없다고 합니다","3"
"외교/통일/국방","북한과 통일 관련해서 신중하게 생각해야 합니다.","15"
"육아/교육","소년법 폐지","21"
"정치개혁","문재인과 그밑의 종북세력을 탄핵합니다.","21"
"미래","정기기사 시험","1"
"반려동물","강아지공장을 없애주세요","61"
"미래","주인이 여러번 바뀌는 나라","3"
"기타","사법부 개판인데 김명수라는 작자는 한세월 잘보내는구나","4"
"미래","유은혜 사회부총리 겸 교육부 장관을 해촉해주세요","8"
"육아/교육","학교에선 이 벌을 강화해주세요","9"
"교통/건축/국토","공공사업 비리에 대한 정부의 책임을 물어 보고 싶다","6"
"기타","음주차량에 동승했는데 방조자가 아니면 뭐냐? 창와대 이따위로 국정운영 할거야","5"
"기타","한국을 빛낸 100면의 위인들","2"
"미래","학교폭력! 이제 두고만 볼 수 없습니다. 국민 여러분들의 힘을 모아주세요","10"
"정치개혁","뻔뻔한가족 모두 반드시 방송퇴출 부탁해요","168"
"정치개혁","인천공항 BMW 택시 사고사건 #금고형 #돈이면장땡 #돈이깡패 #다시한번 느낀다 #법위에 돈있다","14"
"안전/환경","심신미약 폐지와 폭력.성폭력.살인.강간.사기 등이 억질 범죄 처벌 높이기","18"
"기타","***학원 숙제","3"
"성장동력","아파트 각층마다 만남의쉼터및 아이들이 놀수있는 공간을 만들어주세요","2"
"행정","공무원 직무유기는?","5"
"인권/성평등","친조부모상 vs 외조부모상 경조휴가기준 회사에 따라 다르다...?","4"
"정치개혁","북한은.아직도핵실험중이라는대.정부.대통령은.무응답?","9"
"외교/통일/국방","수도방위사령부 제****여단 ***대대 *중대 병사 자살 사건","55"
"육아/교육","수능 등급제 폐지해주세요","8"
"행정","상수원보호구역 토지 실질적  보상","2"
"보건복지","노인빈곤, 건강문제 해결을 위해 노후소득보장정책 및 건강정책을 제고해주세요.","5"
"미래","●명성교회와 정치인과의 비리를 철저하게 수사해주세요.. . .  .  . ※※요즘 대형교회가 친일보수화 되어가고 있습니다.","9"
"성장동력","국가 및국민경제 성장","0"
"일자리","참여연대의 완장질을 멈춰주세요!","5"
"육아/교육","농어촌 학생에게 기회를 제공해주십시오","3"
"성장동력","원전재가동을 간곡히 청원합니다.","96"
"육아/교육","수능 EBS연계 폐지해주세요","5"
"인권/성평등","나영석 피디의 갑질 행태에 대해 적절한 조치를 청원합니다.","420"
"보건복지","국민건강보험료부가 기준에 대하여","11"
"교통/건축/국토","김해공항 BMW 교통사고 사망사건 고작2년??","26"
"기타","청량리 역 앞의 서명운동","3"
"육아/교육","조상호 시의원을 협박한 서울시교육청 소속 공립유치원 관계자에 대한 파면을 촉구합니다.","3"
"미래","우리가 친일의 역사를 망각하거나 무관심 할때 친일들은 또 다시 우리를 정복하여 분열시키고 나와 우리들의 형제를 죽이고 반역자 이완용이같은 사람이 왕이되는 나라로 만들것입니다. 친일=적폐청산 끝까지 청산해 주세요","8"
"육아/교육","대입 논술 미응시자에게 전형료를 환불해 주세요","1"
"정치개혁","하 태 경 + 이 정 렬의 + 백 해 무 익 한 고 소 고 발","9"
"경제민주화","한국GM 국유화 추진해 주세요.","3"
"행정","음주운전 전력/징계 받은 공무원 전원 해임하라. 고위직 승진자도 많다.그러니 바로잡히지 않는 것이다.","8"
"일자리","불체자만단속해도 일자리늘어난다","9"
"기타","문재인 대통령 트위터를 도용한자를 즉각 수사하라","20"
"미래","조두순 출소를 반대합니다.","32"
"안전/환경","길거리 흡연소 조속히 설치하고 길거리 흡연 처벌기준 높여주세요!","10"
"기타","미성년자 주점 출입금지에 관한 관련법 변경...","3"
"기타","도와주세요  너무억울합니다","861"
"안전/환경","우리를 위해 힘써주시는 경찰관, 소방대원의 처우를 개선해주세요","17"
"정치개혁","조두순  만기되면 출소해야죠","6"
"안전/환경","길거리에서 담배좀 피지 마세요","17"
"문화/예술/체육/언론","kbl 농구 조작수사 부탁드립니다.","0"
"외교/통일/국방","G20 가는 문대통령, 트럼프와 다시 만나 비핵화 진전 성과 내나","1"
"기타","서울9호선 다단계 구조 철회밎 박원순서울시장사퇴","3"
"미래","대통령님","3"
"정치개혁","이재명도지사,안희정,김종천,최성규농어촌사장,김경수도지사 당제명을 촉구합니다.","13"
"인권/성평등","외국인 유입으로 국민의 삶은 피폐 해지고 있습니다.","14"
"정치개혁","한번도 겪어보지 못한 경험을 하고있다. 이게 나라냐?","8"
"경제민주화","대한민국 경제를 좀 살펴주세요","10"
"경제민주화","직장내에 갑질에 대해서 처벌 수위를 올려 주십시오.","5"
"정치개혁","혜경궁김씨는 누구입니까?","3"
"기타","공직기강은 청와대 부터 하실래요","8"
"교통/건축/국토","청와대는 음주운전자 집합소입니까?","15"
"외교/통일/국방","나라의 장래가 걱정됩니다(적화통일은 절대 안됩니다)","902"
"정치개혁","징계해서 내보내세요","6"
"인권/성평등","악마 오영춘사건 재수사를 촉구합니다.","18"
"정치개혁","레임덕이","3"
"인권/성평등","조두순 출소로 제2의 나영이와 같은 범죄가 일어난다면...","23"
"기타","야한사이트 운영자들 검거해주세요 !","7"
"외교/통일/국방","문화재복원","1"
