"catagory","title","participated"
"안전/환경","층간소음 법 강화해주세요...집은 더이상 쉴수 없는 공간이 되었습니다","20"
"육아/교육","국민청원","1"
"기타","소방관들의 삶을 지켜주세요","15"
"정치개혁","경제가 너무 안좋습니다. 장사가 안되여~~~~~~~~~~~~~~`","5"
"정치개혁","박근혜     정부의      최순실    처럼,      민주노총이     문제인       정부를     쥐락펴락      하는구만!!!","10"
"정치개혁","깡패인지 트래블메이커인지 장제원의원을 신분 박탈시켜 주세요.","15"
"기타","애니사이트폐쇠위기","14"
"정치개혁","제발 군대를 의미있게 가고싶어요.","10"
"정치개혁","물가가 너무 오르네요","4"
"기타","저희에게 뭘 더 뺏어가닙까..ㅠㅠ","28"
"행정","KT사장 해임건의 및 KT화재로 인해 피해를 입은 모든 지역을 특별재난구역으로 선포하고 보상하라!","6"
"보건복지","의료용 대마 합법화 환영!!!   식약처는 해당 약품을 미리 구입해 놓아서 환자가 신청하면 바로 받을 수 있도록 부탁드립니다.","20"
"정치개혁","청와대 실세 측근들에 의한 친위 쿠테타를 예방 하세요","10"
"성장동력","국민안전과 제4차산업 발전 저해하는 공적기관의 담합적폐(카르텔) 청산해야 합니다.","2"
"일자리","강성노조 잡지못하면 한국 미래는 없습니다","31"
"미래","D - day 1201","4"
"교통/건축/국토","서민피눈물나게 하는 알박기 처벌해주세요","14"
"일자리","청년 실업","4"
"인권/성평등","서울중앙지검 특수1부장 검사를 사무 감사 해주시기 바랍니다.","5"
"외교/통일/국방","Kt 화재를 대공 수사 관점에서 접근해야 합니다","9"
"일자리","중소기업의 고용확대와 실업률 개선 방안을 위한 제안","2"
"문화/예술/체육/언론","토렌트 사이트 ""***(*****)"" 처벌 바랍니다.","10"
"안전/환경","조두순의 얼굴을 밝혀주세요","49"
"문화/예술/체육/언론","좀 궁금해서 말입니다.","4"
"인권/성평등","공공기관 장애인 학대와 괴롭힘 즉각 중단하라!!","10"
"인권/성평등","보배드립 사건 재청원","7"
"외교/통일/국방","북한예산안이 왜 비공개입니까?","16"
"정치개혁","삼성 분식회계 처벌이 마땅","7"
"정치개혁","문 대통령 지지율 다시 50%대..이게 나라냐","14"
"안전/환경","모의고사 혹은 수능에서 사용되는 탐구과목의 종이 낭비를 막아주세요.","8"
"정치개혁","문재인 소득성장정책은 허구다","19"
"성장동력","왜 그럴까요.....","2"
"교통/건축/국토","경기도광주~충청도 논산 대중교통 길좀 뚤어주세요","2"
"일자리","대한민국에서 살기란 정말힘듭니다","10"
