"catagory","title","participated"
"교통/건축/국토","갭투기임대등록업자당장폐지백만채넘는물량쏟아져야투기잡힌다","20"
"경제민주화","차량에 시공된 용품들이  특별손해로 인정되는것은  재산권 침해 입니다.","779"
"육아/교육","유치원 운영비리","36"
"교통/건축/국토","아파트 단지 내 불법주차를 왜 법적으로 제제할 수 없도록 되어있는지 이해가 안됩니다.","7"
"교통/건축/국토","노후된 단독주택 수리해서 쓸수있도록 지원사업해주세요","1"
"경제민주화","spp조선해양 사건에 대해서도 재수사를 촉구합니다.","4"
"기타","급여를받구싶어요","9"
"육아/교육","1조 추정 어린이집, 유치원들의 비리, 그 중 백미는 리베이트","41"
"정치개혁","국가보안법 전면적인 폐기를 촉구합니다.","7"
"육아/교육","유치원 지원금 부모에게 직접 지원하세요","51"
"안전/환경","음주운전에 훈방이란 명목은 있을 수 없습니다.","10"
"일자리","차량서비스 우버, 그랩을 한국에서도 상용화될수있게 해주세요","9"
"인권/성평등","성범죄 관련 무고죄 형량을 더욱 강화해주셨으면 좋겠습니다.","18"
"기타","피해자가 자기보호를 위해 한일로 가해자와 같은 처벌을 받는 상황은 없애야 합니다.","5"
"경제민주화","경기도. 이재명 지사가 아파트 분양가 공개했더니, 역시 효과적이었습니다.","30"
"육아/교육","박용진국회의원 용기를 지지합니다.","39"
"외교/통일/국방","억울한 국가보안법 적용 희생자보상 및 직권남용자 처벌법 제안","4"
"교통/건축/국토","재개발의 전면적은 중단을 촉구합니다.","2"
"경제민주화","아파트 분양원가 공개 민주평화당 정동영 의원이 발의함. 금리인상과 더불어 아파트 거품을 뺄 수 있는 확실한 방법입니다.","11"
"경제민주화","5.24조치 전면해제를 촉구합니다!","11"
"정치개혁","국회의원들보면 화가치밀어요","11"
"교통/건축/국토","포항 집 좀 사 가세요","5"
"육아/교육","초중고 학교 교실 내 감시카메라 설치를 건의합니다","22"
"정치개혁","강원랜드 권선동,염동렬의원 재수사를 촉구합니다.","20"
"인권/성평등","마이없이 외투금지 교칙을 폐지해주십시요.","6"
"저출산/고령화대책","2018년 9월28일자 신혼부부 디딤돌 대출제도 기존 양육 자녀에 대한 이자 우대 미 적용 , 역차별 반대 청원","15"
"일자리","공공기관의 꼼수자회사설립!","62"
"일자리","민주노총의 불법만행에 대하여","105"
"기타","우리를 위해 일하시는 공무원들을 지켜주세요.","1"
"기타","청소년보호법은 이미 악용되고 있습니다.","14"
"안전/환경","교통범칙금및과태료취소","3"
"교통/건축/국토","남양주 다산신도시 금강펜트리움 횡포 강력 처벌 바랍니다","98"
"교통/건축/국토","재개발 중지 좀 해주세요","5"
"정치개혁","자한당 김재원의원에 대해서 수사를 촉구합니다.","7"
"육아/교육","어리석은 박용진 의원을 명예훼손법으로 처벌해주세요.","26"
"정치개혁","국가주도로 얼마나 할 수 있을지 의문이 듭니다.","0"
"보건복지","힘든 서민 마음을 헤아려 주세요","2"
