"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"정치 ","[일문일답]박은정 ""서울교통공사, 채용비리 조사 제외…감사원 감사""",1,0,0,51,0
"정치 ","불법 정규직 전환·친인척 특혜 채용…공공기관 채용비리 '만연'",37,7,9,1826,27
"정치 ","면접관이 삼촌, 자격증 없어도 합격···황당 공공기관",0,0,0,105,0
"정치 ","공공기관 채용비리 182건 적발…""채용비리 취약기관은 상시 점검""(종합)",6,0,0,5,0
"정치 ","홍영표 “한국당 ‘극우의 길’ 가는 것인지 정체성 명확히 해야”",3,0,0,12,0
"정치 ","우경화·탄핵불복vs재판불복·블랙리스트…민주-한국 프레임 싸움",14,1,0,82,2
"정치 ","'김경수 구하기' vs. '황교안 탄핵 부당 발언' 여야 난타전",6,1,2,186,0
"정치 ","황교안 ""박근혜 탄핵 부당""…與 ""국민 모독, 민주주의 부정""",14,0,0,50,0
"정치 ","헌재 탄핵 결정 2년이 지났는데…정치권 朴 탄핵 논쟁 재연",72,0,0,24,1
"정치 ","黃 '탄핵 반대' 커밍아웃…""미래 없다"" 홍준표 예언 적중",34,3,0,26,2
"정치 ","황교안 ""朴탄핵 잘못""…'탄핵' 판도라 상자 열린 한국당 全大 ",62,0,0,23,0
"정치 ","'탄핵 부정' 황교안, 제발로 덫에 걸렸나?",80,3,0,167,2
"정치 ","나경원 ""'문재인판 블랙리스트' 前정권과 급이 다른 초대형""(종합)",515,0,1,96,6
"정치 ","나경원 ""'문재인판 블랙리스트' 前정권과 급이 다른 초대형""",266,1,1,46,3
"정치 ","""드루킹은 문 대통령의 비선 조직""…한국당, 드루킹 특검 다시 추진",104,0,0,11,0
"정치 ","나경원 “문재인판 블랙리스트...前정권과 급이 다른 초대형”",125,1,0,16,1
"정치 ","文 '5·18 망언' 비판에 광주 민주화 원로 ""국민이 힘 얻어""",20,1,0,44,0
"정치 ","문재인 대통령, 5.18 광주지역 원로들 만났다 ",0,0,0,17,0
"정치 ","문 대통령, 5·18 관련 광주 원로들과 오찬",2,0,0,6,0
"정치 ","문대통령, 내일 5·18유공자 오찬…'민주주의 근간' 재확인할 듯",29,1,1,504,1
"정치 ","김준교, 사과 1시간 전 ""문재인은 현직 대통령 아냐""파문(종합)",1605,16,8,1130,12
"정치 ","""저딴 게 대통령"" 김준교 ""현직 대통령 향한 막말 아니다"" 궤변 ",284,1,0,153,0
"정치 ","“문재인은 현직 대통령 아니다”… ‘남자 3호’ 김준교의 극언",949,12,5,395,4
"정치 ","文대통령 ‘막말’ 김준교, 사과는 한국당에…“젊은 혈기에 실수”",10,0,0,42,0
"정치 ","손학규 “민주당, 사법부 짓밟고 정권 수호 나선 것”",36,0,0,2,0
