"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"정치 ","문대통령-모디 총리, 서울 야경 관람…靑 ""한국 발전상 보여줘""",141,2,1,183,2
"정치 ","문대통령-모디 총리 친교 만찬…靑 ""한·인도 우의 재확인""",8,0,0,9,0
"정치 ","롯데월드타워, 첫 국빈 만찬 유치 ""서울 명소서 세계 명소로 발돋음 기회""",3,0,0,1,0
"정치 ","문 대통령, ‘모던 한국’ 자랑 위해 모디 총리 데려간 곳은",1,0,0,1,0
"정치 ","탁현민 전 행정관, 대통령 행사기획 자문위원에 임명",6,0,0,23,0
"정치 ","靑, 탁현민 前 행정관 '자문위원' 위촉…사표 수리 24일만",1,0,0,287,1
"정치 ","청와대 자문위원으로 컴백하는 탁현민…야당 ""무슨 꼼수냐""",6,0,0,61,0
"정치 ","대통령 행사기획 자문위원으로 돌아온 탁현민",2,0,0,11,0
"정치 ","비건-김혁철, 4시간30분 하노이 첫 대좌…북미 의제 협상 본격화(종합)",3,0,0,1,0
"정치 ","비건-김혁철, 하노이서 접촉…의제 협상 진행",1,0,0,0,0
"정치 ","김혁철·비건 북미 의제 협상단 4시간 반 동안 첫 실무 접촉",0,0,0,0,0
"정치 ","[북미 D-6] 비건·김혁철 하노이 첫 대면…의제 조율(종합)",1,1,0,0,1
"정치 ","이효성 “https 차단논란 사과..소통 부족, 인터넷세상 규칙논의 필요""",211,11,11,5155,32
"정치 ","이효성 https 靑 국민청원 “검열안해… 공감못얻어 송구”",4,0,0,92,1
"정치 ","방통위원장 ""검열 있어서도 안 되고 있을 수도 없다""",1,0,0,4,0
"정치 ","정부, ""'야동 사이트 차단' 소통 부족했다"" 사과",3,0,1,406,3
"정치 ","文대통령, 유일한박사 묘소 찾고 깜짝졸업 축하도(종합2보)",9,2,0,20,1
"정치 ","""얼마든지 도전해라"" 문 대통령, 전문대 졸업식 깜짝 방문",7,0,0,23,0
"정치 ","졸업식 간 문 대통령, 지지율 깎은 ‘이영자’ 다 끌어안았다",18,0,0,95,0
"정치 ","文 ""인생은 실패 뒤 더 값진 결실… 포기 말라""",5,1,0,20,1
"정치 ","'3·1운동 100년 남북 공동행사' 무산...北 ""시간 촉박""",34,2,1,148,1
"정치 ","3·1절 남북 공동행사 무산…북한 역사관 다른 탓?",0,0,0,0,0
"정치 ","3·1절 남북 공동행사 무산…""준비 어렵다"" 北 불참 통보",1,0,0,0,0
"정치 ","3·1절 100주년 남북공동행사 추진에 北 불참 통보…이유는(종합)",2,0,0,0,0
"정치 ","文대통령·모디 총리, ‘간디 흉상 제막식’ 참석…“간디 정신, 평화·번영으로 실현되길”",3,0,0,13,0
"정치 ","문대통령, 간디 흉상 제막식 축사···“간디 정신 한국인 가슴에도”",3,0,0,10,0
