"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"정치 ","조엘 위트 “2차회담서 비핵화 단계적 로드맵 교환해야”",0,0,0,0,0
"정치 ","'38노스' 대표 ""영변 포함 모든 핵물질시설 폐기 합의할 것""",26,1,0,6,0
"정치 ","이해찬 ""선거제 개혁, 야3당과 공조해 패스트트랙 처리""(종합)",13,0,0,98,0
"정치 ","이해찬 ""선거제 개혁, 한국당 반대하면 野3당과 패스트트랙 처리""",1,0,0,0,0
"정치 ","민화협 ""5월 평양서 강제동원피해 남북 공동토론회 개최""",0,0,0,0,0
"정치 ","남북 민화협, 이달 말 日 강제징용 희생자 유골 74위 봉환",0,0,0,0,0
"경제 ","""대우조선 매각 안돼"", 노동자-지역사회 투쟁 열기",0,0,0,3,0
"경제 ","'현대중 인수 반대' 대우조선 노조 파업 가결…92% 찬성",99,15,6,1831,14
"경제 ","대우조선 노조, 파업 92% 찬성…핵심은 고용불안",0,1,0,0,0
"경제 ","대우조선 노조, ‘현대중공업 인수 반대’ 파업 가결···“찬성 92%”",0,0,0,0,0
"경제 ","대형가맹점에 처벌 기준·전례도 없이 '경고장'만 날린 금융위",0,0,0,2,0
"경제 ","금융위 ""대형가맹점 '카드수수료 후려치기' 땐 처벌 가능""(종합)",3,0,0,1,0
"경제 ","금융위 ""대형가맹점, 부당하게 낮은 카드 수수료 요구시 처벌""",2,0,0,0,0
"경제 ","금융위 ""카드 대형 가맹점 '낮은 수수료 요구' 처벌할 수도""",0,0,0,0,0
"경제 ","대한항공 “2023년 매출 16조, 영업익 1.7조 달성 목표”",0,0,0,2,0
"경제 ","대한항공, 중장기 비전 발표…""2023년 매출 16조·영업익 1조7000억원""",0,0,0,0,0
"경제 ","대한항공 ""2023년까지 매출 16兆 목표""",0,0,0,0,0
"경제 ","대한항공, KCGI 지적에 ""부채비율 395%로 낮출 것""",1,0,0,1,0
"경제 ","中企 ""입법 조속히 처리해야""…'탄력적 근로시간제' 연장 합의",0,0,0,0,0
"경제 ","中企 “탄력근로제 단위기간 '6개월' 합의 아쉽다”",0,0,0,0,0
"경제 "," 제3인터넷은행, 은행지주들간 경쟁되나 ",0,0,0,0,0
"경제 ","하나금융-키움證-SKT '제3 인터넷銀' 손잡는다",0,0,0,0,0
"경제 ","`사회주택` 2022년까지 매년 2000가구 이상 공급",0,0,0,8,1
"경제 ","`김수현표` 토지임대부 주택 `컴백`…이번엔 성공할까",4,0,0,11,0
"경제 ","CJ대한통운 '택배비 정상화' 나선다…평균 100원 인상",0,0,0,1,0
"경제 ","'업계 1위' CJ대한통운, 27년 만에 택배비 인상",7,0,0,30,0
"경제 ","자영업·소상공인 대책 체감도 높여라",1,0,0,1,0
"경제 ","자영업단체들 “체감할 수 있는 자영업대책 추진해야”",3,0,0,0,0
"경제 ","CJ, 넷마블에서 손 뗀다",1,1,0,3,1
"경제 ","CJ ENM, ‘넷마블 지분 매각 추진설’에 “사실 무근”",0,0,0,0,0
