"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"정치 ","미 '방북자 무비자 입국 제한 조치' 왜 나왔을까",19,0,0,0,0
"정치 ","美, 2011년 이후 방북자 무비자 입국 제한 ",149,1,2,8,1
"정치 ","이재용·최태원 무비자로 美 못 간다… 남북 인적 교류 차질 우려",67,1,4,15,1
"정치 ","북한 다녀오면 美 무비자 입국 제한…지코·레드벨벳도 안 된다",2824,42,7,78,24
"정치 ","‘평화경제’ 언급 하루 만에 미사일 쏜 北",23,9,5,913,9
"정치 ","북, 단거리 미사일 또 2발 발사…13일 동안 네 번째",0,0,0,22,0
"정치 ","北 내륙 가로지른 2발… 기술력·기습 타격 능력 과시 [뉴스분석]",1,1,0,91,1
"정치 ","軍, 이번에도 “방사포 아닌 탄도미사일”",1,0,0,144,3
"정치 ","운영위서 文대통령 '김지태 유족 소송' 변호 놓고 설전·고성(종합)",37,4,2,958,6
"정치 ","노영민, 곽상도에 ""정론관가라"" 말한 이유는",28,0,0,123,1
"정치 ","국회 운영위 ""정론관 가라"" 발언으로 때아닌 공방",6,0,1,56,0
"정치 ","청와대의 `쎈캐` 노영민·김상조, 운영위서 한국당과 설전(舌戰)",53,4,1,474,7
"정치 ","정의용 ""北단거리 발사체 발사, 9·19 군사합의 위반 아냐""(종합)",1,0,0,43,0
"정치 ","김현아 ""초선이라고 무시하나"" vs 정의용 ""오히려 날 무시""",4,1,0,10,0
"정치 ","靑 정의용 “北단거리 발사체 발사, 9·19 군사합의 위반 아냐”",6,0,1,253,1
"정치 ","정의용 ""北 미사일 도발, 9·19 남북군사합의 위반 아냐""",1,0,0,617,0
"정치 ","조국, 일본어로 페이스북 글…“이순신 정신, 한국인 DNA 속에”",35,3,0,153,0
"정치 ","'죽창가' 조국, 이번엔 일본어로 ""방한 日국민 친절하게 맞겠다""",59,3,6,2695,14
"정치 ","조국, SNS에 일본어로 ""한국인 DNA에 이순신 정신 녹아 있어""",1,0,0,2,0
"정치 ","조국 ""韓 모욕하는 日 정부에 반대"" 일본어로 게재 ",11,1,0,472,1
"정치 ","외교차관 “아베 총리, 일본 과거사에 기인한 경제 보복임을 인정한 것”",1,0,0,3,0
"정치 ","조세영 외교차관 ""아베 발언, 과거사 문제로 인한 경제보복 인정"" ",0,0,0,0,0
"정치 ","조세영 외교부 1차관 “아베, 과거사에 기인한 경제보복 인정”",0,0,0,0,0
"정치 ","외교차관 ""아베 발언, 과거사 인한 경제보복인 것 증명""",0,0,0,0,0
"정치 ","[新한일전쟁]외교부 ""필요시 日 여행경보 발령 검토할 것""",3,0,0,8,0
"정치 ","외교부, 日 여행객 안전문자 발송...""필요시 여행경보 발령 검토""",3,0,0,5,1
"정치 ","외교부 ""필요시 일본 여행 경보 발령 검토""",2,0,0,6,0
"정치 ","외교부 “필요하면 日 여행경보 발령 조치도 검토 계획”",3,0,0,9,0
"정치 ","김상조 실장 ""日 금융시장 공격 가능성 매우 낮다""",0,0,0,4,0
"정치 ","김상조 “日, 금융 보복 가능성 매우 낮다”…‘제2의 IMF 보복설’ 일축",0,0,0,5,0
"정치 ","與 '도쿄올림픽 보이콧' 당정협의 추진",0,0,0,0,0
"정치 "," 민주당, 당차원에서 ‘도쿄 올림픽 보이콧’ 검토 ",140,1,1,105,3
"정치 ","노영민 “美 중거리미사일 배치, 논의ㆍ검토한 적도, 계획도 없다”",2,0,0,18,1
