"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"정치 ","여야 ""미세먼지, 재난 지정해 예산 투입""…13일 본회의 처리(종합)",1,1,0,25,0
"정치 ","여야, 미세먼지 관련법 13일 본회의 처리…방중단 구성 합의",142,3,2,794,7
"정치 ","[미세먼지 전쟁중]與野 '미세먼지 4법' 처리키로..추경도 검토",0,0,0,3,0
"정치 ","與野 `미세먼지 법안` 먼지 털고…부랴부랴 긴급회동",0,0,0,23,0
"정치 ","미세먼지 '특단의 대책'…돈 풀고 중국과 협력한다(상보)",0,0,1,34,1
"정치 ","미세먼지 민심폭발에 文, 결국 중국 얘기 꺼냈지만 협조는 미지수",2,2,4,692,1
"정치 ","文 대통령 “中과 함께… 인공강우·예보시스템 추진하라”",0,0,0,1,0
"정치 ","문 대통령 “중국과 인공강우·긴급 추경 검토”…미세먼지 대책 지시",3,0,0,57,0
"정치 ","MB 석방에 한국당 ""환영""…여야 4당 ""기뻐 말라"" 신경전",10,1,0,37,0
"정치 ","여야 4당, 법원의 MB 보석허가에 ""존중하나 실망""·""국민기만""",11,1,0,23,0
"정치 ","與 ""국민 실망"" 野 ""지금이라도 석방 다행""…MB 석방에 엇갈린 반응",184,1,0,16,1
"정치 ","MB 보석 허가, 민주 ""국민 실망"" vs 한국 ""다행스럽다""(종합)",1,0,0,3,0
"정치 ","여야 4당, 선거제 패스트트랙 마지노선 임박에 패키지법 논의 속도",1,0,0,0,0
"정치 ","장제원 ""與, 연동형비례제로 가장 이득..한국당 죽이는게 개혁인가""",2,1,1,2,0
"정치 ","정개특위, 선거제 개편 놓고 때 아닌 ‘결단’ 논쟁",0,0,0,0,0
"정치 ","한국당 압박 들어간 여야 4당··· 한국당은 ""민주당 결단 먼저""",2,0,0,4,0
"정치 ","홍영표 ""미세먼지 국가재난사태 선포 긍정적…긴급 추경 제안""(종합) ",1,1,1,70,0
"정치 ","홍영표 ""미세먼지, 국가재난사태 선포 긍정적""(종합)",6,0,2,113,0
"정치 ","홍영표 ""미세먼지 국가재난사태 선포 긍정…추경 검토도""(종합)",0,0,0,57,0
"정치 ","홍영표 ""미세먼지, 국가재난사태 선포 긍정적""",2,0,0,66,1
"정치 ","""北, 동창리 ICBM기지 빠르게 재건중""…對美 무력시위하나",1,0,0,22,0
"정치 ","北, 동창리 복구 움직임 포착..‘ICBM 카드’ 만지작? 시설폐쇄 홍보 일환?",0,0,0,3,0
"정치 ","北 동창리 재건 움직임…ICBM 카드 꺼내나",3,1,0,10,0
"정치 ","北동창리 발사장 움직임에 촉각…재사용? 해체 준비?",5,0,0,28,1
"정치 ","노회찬의 창원, 원샷 단일화냐 단계적 단일화냐",2,0,0,20,0
"정치 ","[창원성산] 민주개혁 후보단일화 2자냐, 3자냐 ",1,0,0,15,0
