"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"정치 ","靑 ""북미, 대화 지속하길…文대통령 역할 더 깊어져""(종합)",854,5,12,2488,8
"정치 ","靑 ""북미회담 결렬 아쉬워…하지만 의미있는 진전 이뤄""",625,6,12,2548,8
"정치 ","[노딜 하노이]文대통령도 당혹…'네고시에이터' 재등판",1,0,0,10,1
"정치 ","靑 ""북미, 아쉽지만 의미있는 진전…다음 회담 전망 밝아""(종합)",4,0,1,168,0
"정치 ","황교안 첫 인사 한선교가 1달 전 '박근혜 생일'에 올린 글",41,0,1,29,0
"정치 ","'박지만 친구' 한선교 선택한 황교안... 도로 친박당?",56,0,0,24,0
"정치 ","황교안 첫 인선 '사무총장 한선교'…내년 총선 겨냥했나",40,0,1,4,0
"정치 ","친박 귀환 … 한국당 사무총장 ‘원박’ 한선교",1,0,0,0,0
"정치 ","한미정상 25분간 통화…'하노이 담판' 결과 공유(종합)",2,0,0,10,1
"정치 ","文대통령-트럼프, 25분간 전화통화…'하노이 회담' 공유(종합)  ",5,0,0,11,0
"정치 ","한미정상 통화 시작…'하노이 담판' 결과 공유",354,2,11,147,0
"정치 ","한미 정상 25분간 통화…‘북미정상회담 결렬’ 내용 공유",0,0,0,0,0
"정치 ","[일문일답] ②트럼프 ""우라늄 농축 시설 알고 있어…北 놀란 듯""",0,0,0,0,0
"정치 ","'대충 비핵화 안돼' 트럼프 경고 vs 北 '완전 제재완화' 충돌",2950,21,39,113,42
"정치 ","트럼프 ""김정은 전면 제재해제 요구…들어줄 수 없었다"" [전문]",18,0,0,1,1
"정치 ","[일문일답] ①트럼프 ""합의문 서명 좋은생각 아냐…시간이 해결""",0,0,0,0,0
"정치 ","`하노이 核담판` 어그러진 날…안보실 1·2차장 바꾼 靑",3,0,0,74,1
"정치 ","靑, 안보실 1차장 김유근 2차장 김현종 임명",0,0,0,0,0
"정치 ","'미국 아는' 김현종, 안보실 2차장에…남북경협 대비 포석인 듯",0,0,0,0,0
"정치 ","靑 안보실 2차장에 '협상의 달인' 김현종",1,0,0,0,0
"정치 ","[하노이 담판 결렬] '영변外 핵시설' 꺼내든 트럼프…""北도 깜짝 놀란 것 같다""",138,0,0,2,3
"정치 ","[북미회담 결렬]北의 허를 찌른 美 ""영변 플러스 알파 원해""..장기전 모드 가나",1904,19,24,95,35
"정치 ","트럼프 ""영변 외에 발견한 게 있다…우리가 안다는 데 北놀라""",6412,48,40,213,77
"정치 ","'하노이 선언' 도출 실패…北 비핵화 여정 중대 고비",47,0,3,4,0
"정치 ","트럼프 ""한미군사훈련 문제 있다""…전면 중단 가능성",27,0,3,158,3
"정치 ","트럼프 ""文대통령과 가장 먼저 통화…한미군사훈련 중단은 '돈' 때문""",10,1,0,36,2
"정치 ","트럼프 ""한미군사훈련 오래전에 포기…한국이 조금 더 지원해야""",122,4,0,72,4
"정치 ","트럼프 ""한미군사훈련, 비용 때문에 오랜 전 포기""",1,0,0,0,0
"정치 ","북미 정상, 공동서명식·업무오찬 없이 회담장 떠났다",64,0,0,4,1
"정치 ","트럼프 기자회견, 한국시간 오후 4시…오찬·서명식 취소된 듯(종합)",1339,15,576,190,35
"정치 ","낙관하던 김정은·트럼프, 결국 빈손…'빅딜' 하려다 '노딜'",98,1,7,6,1
"정치 ","[하노이 담판 결렬] 北 '제재해제' VS 美 '영변+α' 접점 못찾아(종합)",8,0,0,1,0
"정치 ","협상결렬에 이해찬 ""아쉽다"", 황교안 ""정부 장밋빛 환상""",31,0,0,5,0
"정치 ","황교안, ‘빈손’ 북미회담에 “文정부, 장밋빛 환상만 얘기했다”",134,0,0,31,1
"정치 ","트럼프 ""제재가 쟁점…비핵화를 줘야 제재 해제할 수 있어""(종합)",3978,20,73,237,27
"정치 ","트럼프 ""北, 우리가 원하는 완전한 비핵화 안 해…제재 유지""(종합)",84,2,1,2,1
"정치 ","""北 비핵화 의사 없다""던 태영호 말이 맞았다",165,1,0,5,1
"정치 ","정상회담 합의 실패, 태영호 전 북한 공사 인터뷰 재조명",121,0,1,11,5
"정치 ","트럼프 ""제재 문제 때문에 결렬…영변 해체 이상 원했다""",2,1,0,1,0
"정치 ","하노이 선언 무산 이유…김정은 ""제재 해제""vs트럼프 ""영변+a""",75,1,1,4,0
"정치 ","정의당 ""북미회담 결렬 마냥 비관할 일 아냐…文대통령 나설 때""",3,0,1,44,0
"정치 ","2차 북미회담 결렬..정의당 ""文대통령 나서서 대화 불씨 살려야""",1,0,1,36,0
"정치 ","손학규, '고교·정치 후배' 황교안에 ""당대당 통합 얘기 말라""",22,0,0,13,0
"정치 ","손학규, 황교안에 쓴소리···“당대당 통합 얘기하지 말라”",0,0,0,1,0
"정치 ","‘5·18폄훼’ 3인·손혜원 징계안 일괄상정",0,0,0,0,0
"정치 ","국민 분노 여전한데…5.18망언 의원 징계 ‘첩첩산중’",1,0,0,33,0
"정치 ","[하노이 담판 결렬] 여야 ""안타깝다…조속한 회담 재개 기대""",1,0,1,8,0
"정치 ","민주당 ""좋은 결과 기대했는데"" vs 한국당 ""북미정상회담 결렬 안타까워""",0,0,0,0,0
"정치 ","[북미협상 결렬] '결렬 가능성' 상상도 못한 靑...文 '신한반도체제' 차질 불가피",67,3,6,347,2
"정치 ","'북미 핵담판 결렬'…文대통령 '신한반도 체제' 메시지 변화?(종합)",9,2,0,77,2
"정치 ","민주당 ""아쉽지만 비관적으로 보지 않는다""",4,0,0,45,0
"정치 ","민주 ""북미, 추후회담 빨리 이뤄지길…비관적으로 보지 않아""",2,0,0,73,0
"정치 ","[전문]트럼프 ""北제재 확대? 옳지 않다…북한 국민도 생각해야""",19,0,2,8,0
"정치 ","[전문]트럼프 하노이 기자회견…""미국은 영변 해체보다 많이 원해""",0,0,0,1,0
"정치 ","손학규, 김정은 위원장이 확실한 비핵화 방안가지고 미국 설득해야 ",1,0,0,0,0
"정치 ","[노딜 하노이]손학규 ""북미 합의 실패 유감…北, 美 설득해야""",0,0,0,1,0
"정치 ","[하노이 담판 결렬] 김정은 베트남 공식 친선방문 예정대로 진행(종합)",11,0,0,2,1
"정치 ","북미정상회담 결렬됐지만…베트남 “김정은 공식 친선방문 예정대로”",0,0,0,0,0
"정치 ","1호 통역 ‘신혜영’ 주목…제2의 최선희 되나?",0,0,0,0,0
"정치 ","최후의 배석자 이연향 vs 신혜영…여성 통역관 맞대결 ",0,0,0,0,0
"정치 ","언론의 ‘난민혐오’에 맞선 예멘 난민과 정우성의 외침",4,1,0,33,0
"정치 ","난민혐오 말하던 정우성의 갑작스런 고백 ""난 운 좋은 사람""",2,0,0,1,0
"정치 ","美 감시능력 과소평가…숨겨온 '제3의 핵시설' 들통 [뉴스+]",401,4,2,24,8
"정치 ","트럼프가 말한 “영변 말고 다른 핵시설”은 강선이 유력",7,0,2,0,0
"경제 ","국민연금, 지난해 적자 장사...운용수익률 -0.92% 기록",0,0,0,2,0
"경제 ","국민연금 기금운용 성적표 30년來 '최악'…기금고갈 더 앞당겨지나",0,2,0,169,4
"경제 ","국민연금 운용수익률, 10년 만에 ‘마이너스’",0,0,0,19,1
"경제 ","작년 증시 부진에 국민연금 10년만에 손실… 5조9천억 날려",0,1,0,52,0
"경제 ","새 中企중앙회장 김기문 당선 ""불경기에 中企 무방비…특단대책 추진""",1,0,0,3,0
"경제 ","""다시 일하러 왔다""...마당발 김기문 첫 3선 성공",0,0,0,0,0
"경제 ","""중기·소상공인 어려운 경제상황에 처해 특단의 대책 강구, 정부·국회 전달할 것""",0,0,0,0,0
"경제 ","360만 중기인 이끌 ‘중통령’에 김기문 당선",0,0,0,0,0
"경제 ","차기 하나은행장에 지성규 부행장‥관치에 발목잡힌 함영주(종합)",0,0,0,1,0
"경제 ","금융당국 반대에 함영주 KEB하나은행장 3연임 '포기'",0,0,0,2,0
"경제 ","함영주 하나은행장 3연임 포기…후임에 지성규씨",0,0,0,0,0
"경제 ","금감원, 하나은행장 선임 개입에…김용태 ""금융권 블랙리스트 사태""",3,0,0,3,1
"경제 ","산업생산 반등했지만 불안한 경기…이주열 ‘금리인하론’ 일축",0,0,0,0,0
