"국가이름","국토면적","인구","국내총생산","일인당국내총생산","경제성장률","언론자유지수","행복지수","자살률","기대수명","부패인식지수","순소득지니계수","재산지니계수","합계출산율","범죄지수","민주주의지수"
"르완다",2634000,12794412,9136689514.1,748.39,NA,52.43,3.334,6.7,60.93,56,44.3,73,3.8,NA,3.35
"리비아",175954000,6569864,50984362478.5,7998.03,26.68,55.77,5.525,5.2,78.82,17,NA,NA,2.2,59.18,2.19
"리투아니아",6528600,2864459,47168303744.1,16680.68,3.83,22.06,6.149,31.9,76.77,59,34.2,51.6,1.7,36.51,7.5
"리히텐슈타인",16000,NA,NA,NA,NA,20.49,NA,NA,82.01,NA,NA,NA,1.6,NA,NA
"마다가스카르",58729500,26969642,11499803806.6,449.72,4.17,27.76,3.933,3.9,66.14,25,37.2,67.1,4.1,NA,5.22
"마르티니크",113000,385320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"마샬군도",NA,NA,NA,NA,NA,NA,NA,NA,73.61,NA,NA,NA,4,NA,NA
"마셜제도",18000,NA,199399247.1,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"마요트섬",NA,NA,NA,NA,NA,NA,NA,NA,79.06,NA,NA,NA,NA,NA,NA
"마이크로네시아",70000,106983,336427532.9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"마카오",3040,642090,50361201096.4,NA,9.1,NA,NA,NA,84.57,NA,NA,NA,1.3,NA,NA
"마케도니아",2571000,2086720,11337827331.7,5442.61,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"말라위",11848000,19718743,6303277590.8,338.48,4,29.36,3.41,3.7,54.58,32,37.3,73.7,4.5,NA,5.49
"말레이시아",33032000,32454455,314500279043.8,9944.9,5.9,36.74,5.339,5.5,75.42,47,42.8,82,2,60.79,6.88
"말리",124019000,19689140,15288163367.3,824.52,5.3,35.23,4.39,4.8,55.73,32,32.3,64.5,6,NA,5.41
"매우무더운",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92
"맨섬",57000,NA,NA,NA,NA,NA,NA,NA,81.39,NA,NA,NA,1.6,NA,NA
"멕시코",196438000,132328035,1149918794765.7,8902.83,2.04,46.78,6.595,5.1,77.78,28,45.9,73.2,2.2,52.3,6.19
"모나코",NA,NA,NA,NA,NA,NA,NA,NA,89.37,NA,NA,NA,NA,NA,NA
"모로코",44655000,36635156,109139484007.4,3007.24,4.1,NA,5.208,2.9,77.28,43,35.7,81.4,2.5,50.24,4.99
"모로코서사하라",NA,NA,NA,NA,NA,43.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"모리셔스",204000,1271368,13338147523,10547.22,3.8,28.46,5.888,7.8,76.03,51,NA,NA,1.4,46.81,8.22
"모리타니",103070000,4661149,5024705934.3,1136.76,3.5,31.65,4.49,4.4,63.78,27,30.3,62.3,4.6,NA,3.82
"모잠비크",79938000,31408823,12333859926.3,415.72,3.71,32.66,4.466,4.9,54.08,23,39.9,71.1,5.2,NA,3.85
"몬서랫",10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"몬세라트",NA,NA,NA,NA,NA,NA,NA,NA,74.83,NA,NA,NA,NA,NA,NA
