"국가이름","국토면적","인구","국내총생산","일인당국내총생산","경제성장률","언론자유지수","행복지수","자살률","기대수명","부패인식지수","순소득지니계수","재산지니계수","합계출산율","범죄지수","민주주의지수"
"중국",960000740,1420062022,12237700479375,8826.99,6.9,78.92,5.191,9.7,75.73,39,51,78.9,1.6,45.46,3.32
"중앙아프리카공화국",62298000,4825711,1949411659.2,418.41,4.3,47.27,3.083,7.7,53.26,26,NA,NA,4.8,NA,NA
"지부티",2320000,985690,1844674434.5,NA,4.09,71.36,NA,6.7,63.97,31,NA,NA,2.8,NA,2.87
"지브롤터",1000,NA,NA,NA,NA,NA,NA,NA,79.7,NA,NA,NA,NA,NA,NA
"짐바브웨",39076000,17297495,17845821400,1079.61,3.45,42.23,3.663,10.7,58.95,22,39.8,73,3.7,51.8,3.16
"차드",128400000,15814345,9981303726.2,669.89,-2.95,36.71,4.35,8.8,50.96,19,38.3,69.3,5.8,NA,1.61
"채널",NA,NA,NA,NA,NA,NA,NA,NA,82.02,NA,NA,NA,1.5,NA,NA
"체코",7887000,10630589,215725534372.4,20368.14,4.29,24.89,6.852,NA,78.41,59,25.6,64.8,1.6,26.66,7.69
"칠레",75609600,18336653,277075944401.9,15346.45,1.49,25.65,6.444,10.6,78.86,67,45.9,78.6,1.8,46.81,7.97
"카메룬",47544000,25312993,34798596482.4,1446.7,3.18,43.32,5.044,12.2,56.46,25,39.8,74.1,4.6,NA,3.28
"카보베르데",403000,560349,1753736711.7,3209.69,3.89,19.81,NA,11.3,72.66,57,NA,NA,2.3,NA,NA
"카자흐스탄",272490200,18592970,159406926359.1,8837.46,4,52.82,5.809,22.5,71.41,31,28.8,92.6,2.7,66.51,2.94
"카타르",1161000,2743901,NA,NA,1.6,42.51,6.374,6.6,79.02,62,NA,NA,1.9,13.26,3.19
"캄보디아",18104000,16482646,22158209502.6,1384.42,6.81,45.9,4.7,5.3,65.23,20,36.6,70,2.5,51.28,3.59
"캐나다",998467000,37279811,1653042795255,45032.12,3.05,15.69,7.278,12.5,82.02,81,31.2,73.5,1.5,39.51,9.15
"케냐",58037000,52214791,74938190654.9,1507.81,4.89,32.44,4.509,3.2,64.55,27,41.6,77.2,3.8,54.82,5.11
"케이맨",NA,NA,NA,NA,NA,NA,NA,NA,81.43,NA,NA,NA,NA,NA,NA
"케이맨제도",26400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"케이프",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88
"코모로",186100,850910,648920942.7,797.29,2.5,27.91,3.973,6.8,64.94,27,NA,NA,4.3,NA,3.71
"코소보",NA,NA,NA,NA,NA,29.68,NA,NA,72.17,37,NA,NA,2,NA,NA
"코스타",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.07
"코스타리카",5110000,4999384,57057372468,11630.67,3.19,12.24,7.167,7.9,78.87,56,45.7,69.4,1.8,56.05,NA
"코트디부아르",32246000,25531083,40388624117.1,1662.44,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"콜롬비아",114174900,49849818,309191382833.4,6301.59,1.77,42.82,6.125,7.2,76.17,36,48.9,74.2,1.8,51.26,6.96
"콩고",34200000,5542197,8722553000.8,1658.04,-4.59,36.04,4.812,5.9,57.04,19,NA,NA,6,NA,3.31
"콩고Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA
"콩고민주공화국",234486000,86727573,37241300948.7,457.85,3.7,51.71,4.418,5.7,58.07,20,NA,NA,NA,NA,NA
"쿠바",10988000,11492046,NA,NA,NA,63.81,NA,13.9,78.86,47,NA,NA,1.7,NA,3
"쿠웨이트",1782000,4248974,120126277612.9,29040.36,-2.87,33.86,6.021,2.3,78.31,41,NA,NA,2,33.91,3.85
"쿡",NA,NA,NA,NA,NA,NA,NA,NA,76.23,NA,NA,NA,NA,NA,NA
"쿡아일랜드",24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"큐라소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA
"크로아티아",5659000,4140148,54849180228.9,13294.51,2.78,29.03,5.432,16.5,77.18,48,29.3,49.8,1.4,24.69,6.57
"키르기스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11
"키르기스스탄",NA,NA,NA,NA,NA,29.92,5.261,8.3,72.05,29,34.1,62.9,3,NA,NA
"키르기즈스탄",19994900,6218616,7564738836,1219.82,4.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"키리바시",81000,NA,196150061.3,NA,3.1,NA,NA,14.4,66.85,NA,NA,NA,3.6,NA,NA
"키프로스",925000,1198427,21651791751.2,25233.57,3.88,21.74,6.046,5.3,78.97,59,NA,NA,1.3,29.31,7.59
"타지키스탄",14137600,9292000,7145701018.7,NA,7.1,54.02,5.467,2.5,68.38,25,44.7,53.5,3.3,NA,1.93
"탄자니아",94730000,60913557,52090320325.5,936.33,7.1,36.28,3.231,5.4,54.43,36,42.2,55.2,5,59.01,5.41
"태국",51312000,69306160,455220920571.1,6593.82,3.9,44.1,6.008,14.4,75.15,36,43.7,85.1,1.5,46.66,4.63
"터크스케이커스",NA,NA,NA,NA,NA,NA,NA,NA,80.08,NA,NA,NA,NA,NA,NA
"터크스케이커스제도",95000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"터키",78535000,82961805,851102411118.1,10540.62,7.42,52.81,5.373,7.3,74.28,41,39.8,81.8,2,40.38,4.37
"토고",5679000,8186384,4812554346.1,617.18,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"토켈라우제도",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"통가",75000,110041,426057453.1,NA,2.7,25.41,NA,3.5,76.64,NA,NA,NA,3.6,NA,NA
"투르크메니스탄",48810000,5942561,42355428571.4,NA,6.5,85.44,5.247,6.7,70.68,20,NA,NA,2.8,NA,1.72
"투발루",3000,NA,39731317.3,NA,3.24,NA,NA,NA,67.19,NA,NA,NA,NA,NA,NA
"튀니지",16361000,11783168,40256675208.7,3490.83,1.96,29.61,4.461,3.4,76.51,43,33.3,69.1,2.2,42.29,6.41
"트리니다드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16
"트리니다드토바고",513000,1375443,22104775828.5,16145.18,-2.34,24.74,6.192,13.6,73.39,41,NA,NA,1.7,74.04,NA
"티모르",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.19
"파나마",7542000,4226197,61838175800,15087.68,5.36,29.78,6.321,4.3,78.93,37,46.1,76.3,2.5,46.43,7.05
"파라과이",40675200,6981981,29734895248.9,4365.53,0.77,32.4,5.743,9.5,77.55,29,44.9,75.2,2.5,NA,6.24
"파키스탄",79610000,204596442,304951818494.1,1547.85,5.7,45.83,5.653,2.9,68.39,33,36.2,52.6,3.4,46.73,4.17
"파푸아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.03
"파푸아뉴기니",46284000,8586525,21088758484.7,2555.85,2.2,24.7,NA,6,67.48,28,NA,NA,3.6,79.88,NA
"팔라우",46000,NA,291544300,NA,-3.72,NA,NA,NA,73.63,NA,NA,NA,2.2,NA,NA
"팔레스타인",602000,5186790,NA,NA,NA,44.68,4.696,NA,NA,NA,NA,NA,NA,36.99,4.39
"페로제도",139600,NA,NA,NA,NA,NA,NA,NA,80.6,NA,NA,NA,2.5,NA,NA
"페루",128522000,32933835,211389272242.2,6571.93,2.53,30.22,5.697,4.9,74.22,35,45.4,77.8,2.4,65.28,6.6
"포르투갈",9222600,10254666,217571083046,21136.3,2.68,12.63,5.693,14,79.58,64,34.8,70.9,1.4,32.13,7.84
"포클랜드",1217000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"폴란드",31268000,38028278,524509565263.4,13811.66,4.55,28.89,6.182,16.2,77.4,60,32.1,71.7,1.4,30.09,6.67
"푸에르토리코",887000,3654978,NA,NA,NA,NA,NA,NA,79.91,NA,NA,NA,1.1,65.53,NA
"프랑스",54908700,65480710,2582501307216.4,38476.66,1.82,22.21,6.592,17.7,81.86,72,29.9,70.2,1.9,46.39,7.8
"프랑스령기아나",8353000,296847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"프랑스령폴리네시아",400000,288506,NA,NA,NA,NA,NA,NA,77.54,NA,NA,NA,2,NA,NA
"피지",1827000,918757,5061202767.4,5589.39,3.8,27.18,NA,5,73.21,NA,NA,NA,2.5,NA,5.85
"핀란드",33844600,5561389,251884887972.8,45703.33,2.63,7.9,7.769,15.9,80.21,85,25.6,76.7,1.6,22.8,9.14
"필리핀",30000000,108106310,313595208737.3,2988.95,6.68,43.91,5.631,3.2,73.52,36,47.9,83.9,2.9,40.83,6.71
"핏케언제도",4700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"한국",10029535.08,51811167,1530200000000,29743.5,3.1,24.94,5.895,26.9,80.66,NA,30.7,70,1.1,34.05,NA
"한국Dem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA
"헝가리",9303000,9655361,139135029758.3,14224.85,3.99,30.44,5.758,19.1,76.3,46,28.7,45.3,1.5,35.17,6.63
"호수에서",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"홍",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15
"홍콩",110600,7490776,341449340450.6,46193.61,3.79,29.65,5.43,NA,82.59,76,NA,NA,NA,19.32,NA
"홍콩특별행정구중국",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
