"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"사모아",856626506,174,NA,NA,198909,186,NA,173,828226506,173,NA,NA,2.5,120,NA,NA,NA,NA,NA,106,NA,103
"세인트빈센트그레나딘",789629629.6,175,7185.18,71,11488,190,NA,200,788888888.9,174,7178.44,61,1.6,149,NA,NA,NA,NA,NA,107,NA,105
"코모로",64892942.7,176,797.29,138,85910,162,186100,177,654855832.1,175,NA,NA,2.5,118,NA,NA,NA,NA,NA,NA,NA,NA
"도미니카연방",56254740.7,177,7609.61,68,NA,NA,NA,187,538888888.9,176,NA,NA,-4.21,181,NA,NA,NA,NA,NA,110,NA,107
"통가",426057453.1,178,NA,NA,1141,191,NA,188,432857453.1,177,NA,NA,2.7,110,NA,NA,NA,NA,NA,NA,NA,NA
"상투메프린시페",390871568.6,179,NA,NA,213379,185,NA,182,393098002.8,178,NA,NA,3.87,73,NA,NA,NA,NA,NA,NA,NA,NA
"마이크로네시아",336427532.9,180,NA,NA,106983,192,7,190,390763632.9,179,NA,NA,2,134,NA,NA,NA,NA,NA,NA,NA,NA
"팔라우",291544300,181,NA,NA,NA,NA,NA,197,27976100,181,NA,NA,-3.72,180,NA,NA,NA,NA,NA,NA,NA,NA
"마셜제도",199399247.1,182,NA,NA,NA,NA,NA,214,264418847.1,182,NA,NA,2.5,119,NA,NA,NA,NA,NA,NA,NA,NA
"키리바시",1961561.3,183,NA,NA,NA,NA,NA,184,347131054.6,180,NA,NA,3.1,97,NA,NA,NA,NA,NA,NA,NA,NA
"나우루",113884908.4,184,NA,NA,NA,NA,NA,225,144505618.8,183,NA,NA,4.15,62,NA,NA,NA,NA,NA,NA,NA,NA
"투발루",39731317.3,185,NA,NA,NA,NA,NA,224,58516297.1,184,NA,NA,3.24,91,NA,NA,NA,NA,NA,NA,NA,NA
"미얀마",NA,NA,NA,NA,54336138,26,NA,38,65856016618.1,71,1233.94,104,6.37,27,NA,NA,1.6,80,NA,NA,NA,NA
"베네수엘라",NA,NA,NA,NA,32779868,44,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"예멘",NA,NA,NA,NA,29579986,50,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"북한",NA,NA,NA,NA,25727408,52,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"시리아",NA,NA,NA,NA,18499181,64,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"쿠바",NA,NA,NA,NA,11492046,81,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"에리트레아",NA,NA,NA,NA,5309659,119,1176,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"팔레스타인",NA,NA,NA,NA,5186790,120,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"푸에르토리코",NA,NA,NA,NA,3654978,133,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"카타르",NA,NA,NA,NA,2743901,141,NA,162,167185714285.7,55,NA,NA,1.6,150,NA,NA,NA,NA,NA,40,NA,53
"레위니옹",NA,NA,NA,NA,889918,161,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"서사하라",NA,NA,NA,NA,582478,169,2660,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"과들루프",NA,NA,NA,NA,448798,173,17,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"마르티니크",NA,NA,NA,NA,385320,178,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"프랑스령기아나",NA,NA,NA,NA,296847,180,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"프랑스령폴리네시아",NA,NA,NA,NA,288506,181,40,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"뉴칼레도니아",NA,NA,NA,NA,283376,184,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"괌",NA,NA,NA,NA,167245,188,NA,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"샤넬군도",NA,NA,NA,NA,166828,189,NA,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"미국령버진아일랜드",NA,NA,NA,NA,104909,193,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"그린란드",NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"포클랜드",NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"페로제도",NA,NA,NA,NA,NA,NA,139600,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"터크스케이커스제도",NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"앤틸리스",NA,NA,NA,NA,NA,NA,8,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"맨섬",NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"북마리아나제도",NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"세인트헬레나",NA,NA,NA,NA,NA,NA,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"케이맨제도",NA,NA,NA,NA,NA,NA,26400,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"니우에",NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"생피에르미클롱",NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"쿡아일랜드",NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"미국령사모아",NA,NA,NA,NA,NA,NA,2,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"아루바",NA,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"리히텐슈타인",NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"영국령버진아일랜드",NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"윌리스퍼투나",NA,NA,NA,NA,NA,NA,NA,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"몬서랫",NA,NA,NA,NA,NA,NA,1,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,109
"안길라",NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,112,NA,108
"버뮤다",NA,NA,NA,NA,NA,NA,NA,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"핏케언제도",NA,NA,NA,NA,NA,NA,4700,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"지브롤터",NA,NA,NA,NA,NA,NA,NA,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"토켈라우제도",NA,NA,NA,NA,NA,NA,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"유로지역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2
