"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"이집트",235369129337.7,45,2412.73,113,11168745,14,NA,28,230946129337.7,45,NA,NA,4.18,59,NA,NA,NA,NA,NA,NA,NA,NA
"베트남",223863996354.7,46,2343.12,114,97429061,15,33096700,65,213230456527.8,46,2231.83,91,6.81,20,NA,NA,1.9,79,NA,NA,NA,NA
"포르투갈",217571083046,47,21136.3,35,10254666,87,9222600,109,212783032169.4,47,2599.54,33,2.68,112,86,25,8.9,22,NA,42,NA,39
"체코",215725534372.4,48,2368.14,37,1063589,86,NA,116,204567368706.2,49,19265.54,35,4.29,55,72,30,2.9,72,NA,26,NA,26
"루마니아",21183281924.7,49,1813.72,54,19483360,62,NA,81,206129932806.9,48,NA,NA,6.95,15,NA,NA,4.9,48,NA,37,NA,36
"페루",211389272242.2,50,6571.93,74,32933835,42,NA,18,202866602595.4,50,NA,NA,2.53,116,NA,NA,6.7,33,NA,46,NA,NA
"뉴질랜드",205852838254.7,51,42940.58,18,4792409,126,NA,73,19907632231.8,52,42289.7,18,3.03,103,124,10,4.7,51,NA,48,4011464,47
"그리스",200288277129,52,18613.42,39,11124603,84,NA,95,200391031531.6,51,17956.55,36,1.35,155,86,24,21.5,4,NA,50,NA,43
"이라크",197715736040.6,53,NA,NA,40412299,36,NA,56,195515736040.6,53,NA,NA,-0.78,176,NA,NA,NA,NA,NA,NA,NA,NA
"알제리",17037081918,54,4123.39,94,42679018,34,NA,10,167870202661.9,54,NA,NA,1.7,147,NA,NA,12,10,NA,49,NA,46
"카자흐스탄",15946926359.1,55,8837.46,64,18592970,63,27249200,9,141479943926.6,56,7771.7,59,4,67,NA,NA,4.9,46,NA,45,NA,54
"헝가리",139135029758.3,56,14224.85,50,9655361,92,NA,108,133447345838.3,58,13726.95,46,3.99,68,62,32,4.2,60,NA,32,NA,31
"앙골라",12429385825.2,57,4170.31,91,31787566,46,12467,21,117793291960.1,59,NA,NA,0.72,167,NA,NA,NA,NA,NA,NA,NA,NA
"쿠웨이트",120126277612.9,58,29040.36,27,4248974,128,NA,155,13917484338.9,57,33629.04,23,-2.87,178,NA,NA,NA,NA,NA,44,NA,50
"수단",117487857142.9,59,2898.55,108,42514094,35,NA,NA,107383901428.6,61,NA,NA,4.28,56,NA,NA,NA,NA,NA,83,NA,75
"우크라이나",112154185121.4,60,2639.82,109,43795220,33,NA,42,115167577810.7,60,2604.25,88,2.5,117,NA,NA,9.5,16,4327580,47,495970,44
"모로코",109139484007.4,61,3007.24,106,36635156,40,NA,55,107083486721,62,2996.22,86,4.1,63,NA,NA,NA,NA,NA,NA,NA,NA
"에콰도르",NA,62,6198.95,76,1710444,70,NA,76,NA,63,6058.67,66,3,104,NA,NA,3.8,63,1912246,56,2001001,61
"슬로바키아",95769031980.1,63,17604.95,40,545987,117,4903500,128,93541022350,64,17170.86,38,3.4,88,70,31,8.1,27,NA,36,NA,37
"스리랑카",87174682200.4,64,4065.22,96,21018859,58,NA,121,84837588818.1,65,4063.7,79,3.11,96,NA,NA,4.2,59,NA,66,NA,58
"에티오피아",80561496133.9,65,767.56,139,110135635,12,11043,25,8006377300.3,66,762.82,110,10.25,3,NA,NA,NA,NA,NA,NA,NA,NA
"도미니카공화국",75931656814.7,66,7052.26,72,10996774,85,NA,129,7244296199,69,6728.24,63,4.55,47,NA,NA,NA,NA,NA,NA,NA,NA
"과테말라",75620095537.5,67,4470.99,89,17577842,67,NA,105,7421087889.1,67,4387.09,76,2.76,109,NA,NA,NA,NA,NA,NA,NA,NA
"케냐",7493819654.9,68,1507.81,126,52214791,27,NA,45,74117869973,68,1491.31,100,4.89,42,NA,NA,NA,NA,NA,NA,NA,NA
"오만",72642652795.8,69,15668.37,45,5001875,121,3095,69,7013562546.2,70,15127.62,43,-0.27,173,NA,NA,NA,NA,NA,NA,NA,NA
"룩셈부르크",6244461274.7,70,104103.04,1,596992,168,NA,174,43727291083.5,85,74945.44,3,2.3,125,129,7,5.5,44,NA,62,NA,57
"파나마",61838175800,71,15087.68,48,4226197,129,NA,117,5536200320.9,73,13507.58,47,5.36,35,NA,NA,NA,NA,NA,NA,NA,NA
"코스타리카",57057372468,72,11630.67,53,4999384,122,511,127,5396695943.7,75,1988.43,49,3.19,93,NA,NA,8.1,26,NA,67,NA,65
"불가리아",56831518294.4,73,8031.6,66,6988739,105,1110,103,57317833477.4,72,8090.52,58,3.56,84,NA,NA,6.2,39,1545428,59,NA,63
"우루과이",56156972157.7,74,16245.6,43,3482156,135,NA,89,54445766603.6,74,15750.57,40,2.66,113,NA,NA,7.9,28,NA,71,NA,77
"크로아티아",5484918228.9,75,13294.51,52,414148,130,NA,125,53634154941.3,76,NA,NA,2.78,108,NA,NA,11.2,12,NA,58,NA,55
"벨라루스",54442374372.5,76,5726.03,79,9433874,94,2076,84,52385506753.6,77,5532.7,69,2.42,122,NA,NA,NA,NA,292730,54,3423470,49
"탄자니아",5209032325.5,77,936.33,134,60913557,23,9473,29,51569417122.2,80,899.83,108,7.1,13,NA,NA,NA,NA,NA,85,NA,84
"레바논",51844487742,78,NA,NA,6065922,111,NA,165,51893552949,78,NA,NA,2.02,132,NA,NA,NA,NA,284448,86,NA,62
"리비아",50984362478.5,79,7998.03,67,6569864,107,NA,15,51792793256.6,79,NA,NA,26.68,1,NA,NA,NA,NA,NA,NA,NA,NA
"마카오",50361201096.4,80,NA,NA,642090,165,3040,223,NA,NA,NA,NA,9.1,4,NA,NA,2,77,NA,92,NA,72
"슬로베니아",48769655479.2,81,23597.29,34,2081900,148,NA,152,47524363377,82,22848.52,30,5,39,86,26,6.6,36,NA,51,NA,52
"우즈베키스탄",48717685984,82,NA,NA,32807368,43,4474,54,5064685984,81,NA,NA,5.3,37,NA,NA,NA,NA,NA,NA,NA,NA
"가나",47330016342.6,83,1641.49,122,30096970,48,NA,80,45763617478,83,1587.16,97,8.51,6,NA,NA,NA,NA,NA,NA,NA,NA
"리투아니아",47168303744.1,84,16680.68,42,2864459,140,6528600,122,45613611373.8,84,15781.63,39,3.83,75,NA,NA,7.1,30,2991902,53,NA,51
"투르크메니스탄",42355428571.4,85,NA,NA,5942561,112,4881,50,40781428571.4,86,NA,NA,6.5,25,NA,NA,NA,NA,NA,NA,NA,NA
"세르비아",41431648801.2,86,NA,NA,8733407,97,NA,111,38548514406.7,91,NA,NA,1.87,140,NA,NA,13.5,9,NA,57,NA,56
"아제르바이잔",40747792238,87,4131.62,92,10014575,90,866,112,38988345456.7,89,NA,NA,0.1,170,NA,NA,NA,NA,NA,68,555965,85
"코트디부아르",40388624117.1,88,1662.44,120,25531083,53,NA,67,39039633764,88,NA,NA,7.8,8,NA,NA,NA,NA,NA,64,955542,71
"튀니지",40256675208.7,89,3490.83,101,11783168,78,NA,91,38849991107,90,3368.85,83,1.96,137,NA,NA,15.4,7,NA,61,NA,59
"요르단",40068308516.3,90,4129.75,93,10069794,88,NA,110,39863097248.7,87,4108.6,78,1.97,135,NA,NA,NA,NA,NA,73,NA,60
"볼리비아",3758642112.9,91,3393.96,102,11379861,82,NA,26,36391642112.9,93,3292.88,84,4.2,58,NA,NA,3.2,70,NA,72,NA,73
"콩고민주공화국",3724130948.7,92,457.85,148,86727573,16,NA,11,36499708632.5,92,448.73,114,3.7,81,NA,NA,NA,NA,NA,NA,NA,NA
"바레인",3537127659.6,93,23655.04,33,1637896,151,77100,186,31889298670.2,95,21365.16,31,3.88,71,NA,NA,NA,NA,NA,74,NA,67
"카메룬",34798596482.4,94,1446.7,127,25312993,54,NA,51,34298677740.7,94,1425.92,102,3.18,94,NA,NA,NA,NA,NA,NA,NA,NA
"라트비아",30264454641.8,95,15594.29,46,1911108,150,NA,123,30045549489.4,96,15410.58,42,4.55,49,74,29,8.7,23,NA,63,NA,66
"파라과이",29734895248.9,96,4365.53,90,6981981,106,40675200,58,28164883990.4,97,4135.03,77,0.77,166,NA,NA,4.6,52,NA,69,NA,68
"에스토니아",25921079612.3,97,19704.66,38,1303798,156,NA,130,25397715459,98,19393.02,34,4.85,44,79,27,5.8,40,NA,60,NA,64
"우간다",25891058946.2,98,604.04,146,45711874,31,NA,79,25280612722.9,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"잠비아",2588666421.6,99,1509.8,125,18137369,66,NA,37,2503054375.2,100,1462.67,101,4.08,65,NA,NA,NA,NA,NA,70,NA,76
"엘살바도르",2485439600,100,3889.31,98,6445405,108,NA,151,23357099600,103,3662.22,81,2.32,124,NA,NA,NA,NA,NA,NA,NA,NA
"네팔",24472013233.8,101,835.08,135,29942018,49,NA,93,24733612841.2,101,NA,NA,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA
"아이슬란드",2399289978.6,102,756.87,4,34566,179,1030,106,23964938653.7,102,71531.79,4,3.64,82,167,1,2.7,74,NA,79,696979,80
