"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"도미니카연방",562540740.7,177,7609.61,68,NA,NA,75000,187,538888888.9,176,NA,NA,-4.21,181,NA,NA,NA,NA,20537000,110,197556000,107
"통가",426057453.1,178,NA,NA,110041,191,75000,188,432857453.1,177,NA,NA,2.7,110,NA,NA,NA,NA,NA,NA,NA,NA
"상투메프린시페",390871568.6,179,NA,NA,213379,185,96000,182,393098002.8,178,NA,NA,3.87,73,NA,NA,NA,NA,NA,NA,NA,NA
"마이크로네시아",336427532.9,180,NA,NA,106983,192,70000,190,390763632.9,179,NA,NA,2,134,NA,NA,NA,NA,NA,NA,NA,NA
"팔라우",291544300,181,NA,NA,NA,NA,46000,197,279760100,181,NA,NA,-3.72,180,NA,NA,NA,NA,NA,NA,NA,NA
"마셜제도",199399247.1,182,NA,NA,NA,NA,18000,214,264418847.1,182,NA,NA,2.5,119,NA,NA,NA,NA,NA,NA,NA,NA
"키리바시",196150061.3,183,NA,NA,NA,NA,81000,184,347131054.6,180,NA,NA,3.1,97,NA,NA,NA,NA,NA,NA,NA,NA
"나우루",113884908.4,184,NA,NA,NA,NA,2000,225,144505618.8,183,NA,NA,4.15,62,NA,NA,NA,NA,NA,NA,NA,NA
"투발루",39731317.3,185,NA,NA,NA,NA,3000,224,58516297.1,184,NA,NA,3.24,91,NA,NA,NA,NA,NA,NA,NA,NA
"미얀마",NA,NA,NA,NA,54336138,26,67659000,38,65856016618.1,71,1233.94,104,6.37,27,NA,NA,1.6,80,NA,NA,NA,NA
"베네수엘라",NA,NA,NA,NA,32779868,44,91205000,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"예멘",NA,NA,NA,NA,29579986,50,52797000,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"북한",NA,NA,NA,NA,25727408,52,12054000,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"시리아",NA,NA,NA,NA,18499181,64,18518000,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"쿠바",NA,NA,NA,NA,11492046,81,10988000,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"에리트레아",NA,NA,NA,NA,5309659,119,11760000,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
