"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"에콰도르",103056619000,62,6198.95,76,17100444,70,25637000,76,100724446000,63,6058.67,66,3,104,NA,NA,3.8,63,19122460000,56,20010010000,61
"슬로바키아",95769031980.1,63,17604.95,40,5450987,117,4903500,128,93541022350,64,17170.86,38,3.4,88,70,31,8.1,27,84481621000,36,83307091000,37
"스리랑카",87174682200.4,64,4065.22,96,21018859,58,6561000,121,84837588818.1,65,4063.7,79,3.11,96,NA,NA,4.2,59,11360151000,66,20979795000,58
"에티오피아",80561496133.9,65,767.56,139,110135635,12,110430000,25,80063770300.3,66,762.82,110,10.25,3,NA,NA,NA,NA,NA,NA,NA,NA
"도미니카공화국",75931656814.7,66,7052.26,72,10996774,85,4867000,129,72442960199,69,6728.24,63,4.55,47,NA,NA,NA,NA,NA,NA,NA,NA
"과테말라",75620095537.5,67,4470.99,89,17577842,67,10889000,105,74201087889.1,67,4387.09,76,2.76,109,NA,NA,NA,NA,NA,NA,NA,NA
"케냐",74938190654.9,68,1507.81,126,52214791,27,58037000,45,74117869973,68,1491.31,100,4.89,42,NA,NA,NA,NA,NA,NA,NA,NA
"오만",72642652795.8,69,15668.37,45,5001875,121,30950000,69,70135620546.2,70,15127.62,43,-0.27,173,NA,NA,NA,NA,NA,NA,NA,NA
"룩셈부르크",62404461274.7,70,104103.04,1,596992,168,259000,174,43727291083.5,85,74945.44,3,2.3,125,129,7,5.5,44,14291006000,62,21379937000,57
"파나마",61838175800,71,15087.68,48,4226197,129,7542000,117,55362000320.9,73,13507.58,47,5.36,35,NA,NA,NA,NA,NA,NA,NA,NA
"코스타리카",57057372468,72,11630.67,53,4999384,122,5110000,127,53906695943.7,75,10988.43,49,3.19,93,NA,NA,8.1,26,10519505000,67,16047632000,65
"불가리아",56831518294.4,73,8031.6,66,6988739,105,11100000,103,57317833477.4,72,8090.52,58,3.56,84,NA,NA,6.2,39,15454280000,59,17494717000,63
"우루과이",56156972157.7,74,16245.6,43,3482156,135,17622000,89,54445766603.6,74,15750.57,40,2.66,113,NA,NA,7.9,28,7884724000,71,8457877000,77
"크로아티아",54849180228.9,75,13294.51,52,4140148,130,5659000,125,53634154941.3,76,NA,NA,2.78,108,NA,NA,11.2,12,15686951000,58,24281516000,55
"벨라루스",54442374372.5,76,5726.03,79,9433874,94,20760000,84,52385506753.6,77,5532.7,69,2.42,122,NA,NA,NA,NA,29207300000,54,34234700000,49
"탄자니아",52090320325.5,77,936.33,134,60913557,23,94730000,29,51569417122.2,80,899.83,108,7.1,13,NA,NA,NA,NA,2878409000,85,5590381000,84
"레바논",51844487742,78,NA,NA,6065922,111,1045000,165,51893552949,78,NA,NA,2.02,132,NA,NA,NA,NA,2844480000,86,19588597000,62
"리비아",50984362478.5,79,7998.03,67,6569864,107,175954000,15,51792793256.6,79,NA,NA,26.68,1,NA,NA,NA,NA,NA,NA,NA,NA
"마카오",50361201096.4,80,NA,NA,642090,165,3040,223,NA,NA,NA,NA,9.1,4,NA,NA,2,77,1405867000,92,9448921000,72
"슬로베니아",48769655479.2,81,23597.29,34,2081900,148,2027000,152,47524363377,82,22848.52,30,5,39,86,26,6.6,36,31950998000,51,31205193000,52
"우즈베키스탄",48717685984,82,NA,NA,32807368,43,44740000,54,50604685984,81,NA,NA,5.3,37,NA,NA,NA,NA,NA,NA,NA,NA
"가나",47330016342.6,83,1641.49,122,30096970,48,23854000,80,45763617478,83,1587.16,97,8.51,6,NA,NA,NA,NA,NA,NA,NA,NA
"리투아니아",47168303744.1,84,16680.68,42,2864459,140,6528600,122,45613611373.8,84,15781.63,39,3.83,75,NA,NA,7.1,30,29919020000,53,32537252000,51
"투르크메니스탄",42355428571.4,85,NA,NA,5942561,112,48810000,50,40781428571.4,86,NA,NA,6.5,25,NA,NA,NA,NA,NA,NA,NA,NA
"세르비아",41431648801.2,86,NA,NA,8733407,97,8836000,111,38548514406.7,91,NA,NA,1.87,140,NA,NA,13.5,9,17031423000,57,21993696000,56
"아제르바이잔",40747792238,87,4131.62,92,10014575,90,8660000,112,38988345456.7,89,NA,NA,0.1,170,NA,NA,NA,NA,9089971000,68,5559650000,85
"코트디부아르",40388624117.1,88,1662.44,120,25531083,53,32246000,67,39039633764,88,NA,NA,7.8,8,NA,NA,NA,NA,12436593000,64,9555420000,71
"튀니지",40256675208.7,89,3490.83,101,11783168,78,16361000,91,38849991107,90,3368.85,83,1.96,137,NA,NA,15.4,7,14433022000,61,20681319000,59
"요르단",40068308516.3,90,4129.75,93,10069794,88,8932000,110,39863097248.7,87,4108.6,78,1.97,135,NA,NA,NA,NA,7491472000,73,20406476000,60
"볼리비아",37508642112.9,91,3393.96,102,11379861,82,109858000,26,36391642112.9,93,3292.88,84,4.2,58,NA,NA,3.2,70,7752347000,72,9303697000,73
"콩고민주공화국",37241300948.7,92,457.85,148,86727573,16,234486000,11,36499708632.5,92,448.73,114,3.7,81,NA,NA,NA,NA,NA,NA,NA,NA
"바레인",35307127659.6,93,23655.04,33,1637896,151,77100,186,31889298670.2,95,21365.16,31,3.88,71,NA,NA,NA,NA,6964654000,74,13158883000,67
"카메룬",34798596482.4,94,1446.7,127,25312993,54,47544000,51,34298677740.7,94,1425.92,102,3.18,94,NA,NA,NA,NA,NA,NA,NA,NA
"라트비아",30264454641.8,95,15594.29,46,1911108,150,6449000,123,30045549489.4,96,15410.58,42,4.55,49,74,29,8.7,23,12971652000,63,15851856000,66
"파라과이",29734895248.9,96,4365.53,90,6981981,106,40675200,58,28164883990.4,97,4135.03,77,0.77,166,NA,NA,4.6,52,8679987000,69,11874809000,68
"에스토니아",25921079612.3,97,19704.66,38,1303798,156,4523000,130,25397715459,98,19393.02,34,4.85,44,79,27,5.8,40,14538561000,60,16629652000,64
"우간다",25891058946.2,98,604.04,146,45711874,31,24155000,79,25280612722.9,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"잠비아",25808666421.6,99,1509.8,125,18137369,66,75261000,37,25003054375.2,100,1462.67,101,4.08,65,NA,NA,NA,NA,8150692000,70,8738232000,76
"엘살바도르",24805439600,100,3889.31,98,6445405,108,2104000,151,23357099600,103,3662.22,81,2.32,124,NA,NA,NA,NA,NA,NA,NA,NA
"네팔",24472013233.8,101,835.08,135,29942018,49,14718000,93,24733612841.2,101,NA,NA,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA
"아이슬란드",23909289978.6,102,70056.87,4,340566,179,10300000,106,23964938653.7,102,71531.79,4,3.64,82,167,1,2.7,74,4864457000,79,6969790000,80
"온두라스",22978532896.8,103,2480.13,111,9568688,93,11249000,101,21331805863.6,105,2302.39,90,4.79,45,NA,NA,NA,NA,4564203000,81,9684400000,70
"캄보디아",22158209502.6,104,1384.42,128,16482646,72,18104000,88,20800209502.6,108,NA,NA,6.81,19,NA,NA,NA,NA,12089453000,65,NA,NA
"트리니다드토바고",22104775828.5,105,16145.18,44,1375443,153,513000,170,21365544361.7,104,15605.25,41,-2.34,177,NA,NA,NA,NA,NA,NA,NA,NA
"키프로스",21651791751.2,106,25233.57,31,1198427,158,925000,166,21090796303.1,106,17880.36,37,3.88,72,NA,NA,11.1,14,3343814000,84,9290793000,74
"파푸아뉴기니",21088758484.7,107,2555.85,110,8586525,99,46284000,52,20288655743.7,109,2458.88,89,2.2,130,NA,NA,NA,NA,NA,NA,NA,NA
"아프가니스탄",20815300220,108,NA,NA,37209007,39,65286000,39,21017148561.8,107,NA,NA,2.6,115,NA,NA,NA,NA,NA,NA,NA,NA
"보스니아-헤르체고비나",18168579578.2,109,5180.64,84,3501774,134,5121000,126,18170481157.1,110,NA,NA,3.03,102,NA,NA,NA,NA,6399889000,75,10500841000,69
"짐바브웨",17845821400,110,1079.61,132,17297495,68,39076000,59,15793652039.1,114,955.46,107,3.45,87,NA,NA,NA,NA,NA,NA,NA,NA
"보츠와나",17406530780.7,111,7595.6,69,2374636,143,58173000,44,17040530780.7,111,7435.89,60,2.36,123,NA,NA,NA,NA,NA,NA,NA,NA
"라오스",16853079615.4,112,2457.38,112,7064242,104,23680000,82,15963616763,112,NA,NA,6.89,17,NA,NA,9.4,17,NA,NA,NA,NA
"세네갈",16374743753.5,113,1033.07,133,16743859,71,19671000,86,15805128436.7,113,997.13,106,6.79,21,NA,NA,NA,NA,2544037000,88,6102833000,83
"말리",15288163367.3,114,824.52,137,19689140,61,124019000,22,14916207899.5,115,NA,NA,5.3,36,NA,NA,NA,NA,NA,NA,NA,NA
"그루지야",15159281211.4,115,4078.25,95,3904204,132,6970000,120,14346202151.8,116,NA,NA,4.99,40,NA,NA,NA,NA,2727971000,87,7979435000,78
"자메이카",14768134912.4,116,5109.55,85,2906339,139,1099000,164,14262011423.5,117,4934.44,73,0.48,169,NA,NA,11.7,11,NA,NA,NA,NA
"가봉",14622880885.7,117,7220.69,70,2109099,146,26767000,74,13681453152.1,118,6755.82,62,1.1,160,NA,NA,NA,NA,NA,NA,NA,NA
"니카라과",13814261535.5,118,2221.81,116,6351157,109,13037000,96,13424061795.8,120,2159.05,92,4.86,43,NA,NA,NA,NA,NA,NA,NA,NA
"모리셔스",13338147523,119,10547.22,56,1271368,157,204000,176,13510385309.2,119,10678.98,51,3.8,77,NA,NA,7.1,31,2369314000,90,5255961000,87
"나미비아",13244597345.4,120,5227.18,83,2641996,142,82429000,32,13051626617.8,122,5151.02,72,-0.77,175,NA,NA,NA,NA,4773190000,80,6609679000,82
"알바니아",13039352744,121,4537.86,88,2938428,137,2875000,142,13142933475.1,121,NA,NA,3.84,74,NA,NA,13.8,8,2301439000,91,5293923000,86
"부르키나파소",12873114800,122,670.71,143,20321560,59,27422000,72,12471204115.3,124,649.77,112,6.74,22,NA,NA,NA,NA,NA,NA,NA,NA
"몰타",12537750732.5,123,26945.98,30,433245,175,32000,204,11650173826.5,128,27040.92,28,6.42,26,NA,NA,4.6,53,4076018000,82,6836100000,81
"적도기니",12486753871.3,124,9850.01,60,1360104,154,2805000,143,9752482997.3,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"모잠비크",12333859926.3,125,415.72,151,31408823,47,79938000,33,11913878221.8,126,401.56,116,3.71,80,NA,NA,NA,NA,NA,NA,NA,NA
"바하마",12162100000,126,30762.01,25,403095,176,1388000,158,11907020000,127,30116.83,25,1.44,154,NA,NA,NA,NA,469304000,98,3427821000,90
"브루나이",12128089001.6,127,28290.59,28,439336,174,577000,169,12885364617.3,123,NA,NA,1.33,156,NA,NA,9.3,19,5587038000,78,3087541000,91
"아르메니아",11536590635.8,128,3936.8,97,2936706,138,2974000,140,12034267028,125,NA,NA,7.5,9,NA,NA,17.8,5,NA,NA,NA,NA
"마다가스카르",11499803806.6,129,449.72,149,26969642,51,58729500,43,11146042743,129,NA,NA,4.17,60,NA,NA,NA,NA,NA,NA,NA,NA
"몽골",11488046881,130,3735.16,100,3166244,136,156412000,17,9875455021.2,132,3210.85,85,5.88,30,NA,NA,6.4,37,6200700000,76,4335500000,89
"마케도니아",11337827331.7,131,5442.61,81,2086720,147,2571000,147,10860315685.4,130,NA,NA,0.02,172,NA,NA,22.4,2,5663747000,77,7716594000,79
"기니",10491474929.7,132,NA,NA,13398180,75,24586000,77,10440844929.7,131,NA,NA,12.7,2,NA,NA,NA,NA,NA,NA,NA,NA
"차드",9981303726.2,133,669.89,144,15814345,73,128400000,19,9850740755.9,133,NA,NA,-2.95,179,NA,NA,NA,NA,NA,NA,NA,NA
"베냉",9273558271.6,134,829.8,136,11801595,77,11476000,100,9260647271.5,135,828.64,109,5.58,33,NA,NA,NA,NA,NA,NA,NA,NA
"르완다",9136689514.1,135,748.39,141,12794412,76,2634000,146,8935855028.8,136,731.94,111,NA,NA,NA,NA,NA,NA,806175000,95,2875996000,92
"콩고",8722553000.8,136,1658.04,121,5542197,116,34200000,63,7938606542.6,141,1509.03,99,-4.59,182,NA,NA,NA,NA,NA,NA,NA,NA
"아이티",8408150518,137,765.68,140,11242856,83,2775000,145,8461813293.7,138,NA,NA,1.17,159,NA,NA,NA,NA,NA,NA,NA,NA
